tl,hanzi,frequency,poj,tl_num,poj_num,tl_notone,poj_notone,tl_abbrev,poj_abbrev
tê,茶,3426,tê,te5,te5,te,te,,
liân,蓮,999,liân,lian5,lian5,lian,lian,,
kiunn,薑,400,kiuⁿ,kiunn1,kiunn1,kiunn,kiunn,,
tîn,藤,350,tîn,tin5,tin5,tin,tin,,
tōo,杜,300,tō͘,too7,too7,too,too,,
sam,杉,200,sam,sam1,sam1,sam,sam,,
tsang,棕,200,chang,tsang1,chang1,tsang,chang,,
tsiunn,樟,200,chiuⁿ,tsiunn1,chiunn1,tsiunn,chiunn,,
tshat,漆,150,chhat,tshat1,chhat1,tshat,chhat,,
tshîng,松,100,chhêng,tshing5,chheng5,tshing,chheng,,
tshîng,榕,100,chhêng,tshing5,chheng5,tshing,chheng,,
phuē,稗,100,phōe,phue7,phoe7,phue,phoe,,
kiô,茄,100,kiô,kio5,kio5,kio,kio,,
hiānn,艾,50,hiāⁿ,hiann7,hiann7,hiann,hiann,,
hò,荷,50,hò,ho3,ho3,ho,ho,,
sann-khak,三麴,25,saⁿ-khak,sann1khak1,sann1khak1,sannkhak,sannkhak,sk,sk
khu-phiô,丘萍,25,khu-phiô,khu1phio5,khu1phio5,khuphio,khuphio,kp,kp
tiong-iū,中柚,25,tiong-iū,tiong1iu7,tiong1iu7,tiongiu,tiongiu,ti,ti
káu-tsô,九槽,25,káu-chô,kau2tso5,kau2cho5,kautso,kaucho,kt,kc
kiú-kiong,九芎,25,kiú-kiong,kiu2kiong1,kiu2kiong1,kiukiong,kiukiong,kk,kk
lin-tsháu,乳草,25,lin-chháu,lin1tshau2,lin1chhau2,lintshau,linchhau,lt,lc
lin-tîn,乳藤,25,lin-tîn,lin1tin5,lin1tin5,lintin,lintin,lt,lt
kan-kuah,乾葛,25,kan-koah,kan1kuah1,kan1koah1,kankuah,kankoah,kk,kk
a-sam,亞杉,25,a-sam,a1sam1,a1sam1,asam,asam,as,as
jîn-kí,仁𣏌,25,jîn-kí,jin5ki2,jin5ki2,jinki,jinki,jk,jk
sian-tan,仙丹,25,sian-tan,sian1tan1,sian1tan1,siantan,siantan,st,st
sian-tsháu,仙草,25,sian-chháu,sian1tshau2,sian1chhau2,siantshau,sianchhau,st,sc
hu̍t-siú,佛手,25,hu̍t-siú,hut8siu2,hut8siu2,hutsiu,hutsiu,hs,hs
tshik-peh,側柏,25,chhek-peh,tshik1peh1,chhek1peh1,tshikpeh,chhekpeh,tp,cp
pueh-kak,八角,25,poeh-kak,pueh1kak1,poeh1kak1,puehkak,poehkak,pk,pk
phànn-khīng,冇柏,25,phàⁿ-khēng,phann3khing7,phann3kheng7,phannkhing,phannkheng,pk,pk
phànn-kuì,冇桂,25,phàⁿ-kùi,phann3kui3,phann3kui3,phannkui,phannkui,pk,pk
phànn-tsiunn,冇樟,25,phàⁿ-chiuⁿ,phann3tsiunn1,phann3chiunn1,phanntsiunn,phannchiunn,pt,pc
tshì-á,刺仔,25,chhì-á,tshi3a2,chhi3a2,tshia,chhia,ta,ca
tshì-keh,刺格,25,chhì-keh,tshi3keh1,chhi3keh1,tshikeh,chhikeh,tk,ck
tshì-tông,刺桐,25,chhì-tông,tshi3tong5,chhi3tong5,tshitong,chhitong,tt,ct
tshì-lâm,刺楠,25,chhì-lâm,tshi3lam5,chhi3lam5,tshilam,chhilam,tl,cl
tshì-tik,刺竹,25,chhì-tek,tshi3tik1,chhi3tek1,tshitik,chhitek,tt,ct
tshì-kiô,刺茄,25,chhì-kiô,tshi3kio5,chhi3kio5,tshikio,chhikio,tk,ck
tshì-tsháu,刺草,25,chhì-chháu,tshi3tshau2,chhi3chhau2,tshitshau,chhichhau,tt,cc
tshì-hīng,刺莧,25,chhì-hēng,tshi3hing7,chhi3heng7,tshihing,chhiheng,th,ch
tshì-tshang,刺葱,25,chhì-chhang,tshi3tshang1,chhi3chhang1,tshitshang,chhichhang,tt,cc
tshì-soo,刺蒐,25,chhì-so͘,tshi3soo1,chhi3soo1,tshisoo,chhisoo,ts,cs
pû-á,匏仔,25,pû-á,pu5a2,pu5a2,pua,pua,pa,pa
pak-tsio,北蕉,25,pak-chio,pak1tsio1,pak1chio1,paktsio,pakchio,pt,pc
puàn-hā,半夏,25,poàn-hā,puan3ha7,poan3ha7,puanha,poanha,ph,ph
kńg-peh,卷柏,25,kńg-peh,kng2peh1,kng2peh1,kngpeh,kngpeh,kp,kp
kāu-khak,厚殼,25,kāu-khak,kau7khak1,kau7khak1,kaukhak,kaukhak,kk,kk
hâm-siàu,含笑,25,hâm-siàu,ham5siau3,ham5siau3,hamsiau,hamsiau,hs,hs
siong-lio̍k,商陸,25,siong-lio̍k,siong1liok8,siong1liok8,siongliok,siongliok,sl,sl
siān-po̍k,善薄,25,siān-po̍k,sian7pok8,sian7pok8,sianpok,sianpok,sp,sp
tshuì-tsháu,嘴草,25,chhùi-chháu,tshui3tshau2,chhui3chhau2,tshuitshau,chhuichhau,tt,cc
phùn-seh,噴雪,25,phùn-seh,phun3seh1,phun3seh1,phunseh,phunseh,ps,ps
thóo-sam,土杉,25,thó͘-sam,thoo2sam1,thoo2sam1,thoosam,thoosam,ts,ts
thóo-lâm,土楠,25,thó͘-lâm,thoo2lam5,thoo2lam5,thoolam,thoolam,tl,tl
thóo-tsiunn,土樟,25,thó͘-chiuⁿ,thoo2tsiunn1,thoo2chiunn1,thootsiunn,thoochiunn,tt,tc
thóo-hun,土烟,25,thó͘-hun,thoo2hun1,thoo2hun1,thoohun,thoohun,th,th
thóo-hun,土煙,25,thó͘-hun,thoo2hun1,thoo2hun1,thoohun,thoohun,th,th
