hanzi,tl,frequency,poj,tl_num,poj_num,tl_notone,poj_notone,tl_abbrev,poj_abbrev,taigitv
點,tiám,7036,tiám,tiam2,tiam2,tiam,tiam,,,True
掠,lia̍h,4324,lia̍h,liah8,liah8,liah,liah,,,True
局,kio̍k,2245,kio̍k,kiok8,kiok8,kiok,kiok,,,True
番,huan,2005,hoan,huan1,hoan1,huan,hoan,,,True
拖,thua,1704,thoa,thua1,thoa1,thua,thoa,,,True
列,lia̍t,1678,lia̍t,liat8,liat8,liat,liat,,,True
型,hîng,1100,hêng,hing5,heng5,hing,heng,,,True
抾,khioh,900,khioh,khioh4,khioh4,khioh,khioh,,,True
摃,kòng,300,kòng,kong3,kong3,kong,kong,,,True
捲,kńg,250,kńg,kng2,kng2,kng,kng,,,True
疊,tha̍h,200,tha̍h,thah8,thah8,thah,thah,,,True
揤,tshi̍h,150,chhi̍h,tshih8,chhih8,tshih,chhih,,,True
欄,nuâ,150,nôa,nua5,noa5,nua,noa,,,True
櫓,lóo,100,ló͘,loo2,loo2,loo,loo,,,True
,lóo,50,ló͘,loo2,loo2,loo,loo,,,True
,ì,50,ì,i3,i3,i,i,,,True
埋,tâi,50,tâi,tai5,tai5,tai,tai,,,True
獒,ngôo,50,ngô͘,ngoo5,ngoo5,ngoo,ngoo,,,True
艾,hiānn,50,hiāⁿ,hiann7,hiann7,hiann,hiann,,,True
,a-lé,25,a-lé,a1le2,a1le2,ale,ale,al,al,True
,bat-tah,25,bat-tah,bat4tah4,bat4tah4,battah,battah,bt,bt,True
,bàng-gà,25,bàng-gà,bang3ga3,bang3ga3,bangga,bangga,bg,bg,True
,bá-tah,25,bá-tah,ba2tah4,ba2tah4,batah,batah,bt,bt,True
,bé-khòng,25,bé-khòng,be2khong3,be2khong3,bekhong,bekhong,bk,bk,True
,bòo-lù,25,bò͘-lù,boo3lu3,boo3lu3,boolu,boolu,bl,bl,True
,há-khih,25,há-khih,ha2khih4,ha2khih4,hakhih,hakhih,hk,hk,True
,há-muh,25,há-muh,ha2muh4,ha2muh4,hamuh,hamuh,hm,hm,True
,hóo-tok,25,hó͘-tok,hoo2tok4,hoo2tok4,hootok,hootok,ht,ht,True
,ió-gà,25,ió-gà,io2ga3,io2ga3,ioga,ioga,ig,ig,True
,khiá-tsiah,25,khiá-chiah,khia2tsiah4,khia2chiah4,khiatsiah,khiachiah,kt,kc,True
,khóo-pih,25,khó͘-pih,khoo2pih4,khoo2pih4,khoopih,khoopih,kp,kp,True
,luī-lóo,25,lūi-ló͘,lui7loo2,lui7loo2,luiloo,luiloo,ll,ll,True
,lài-tooh,25,lài-to͘h,lai3tooh4,lai3tooh4,laitooh,laitooh,lt,lt,True
,lé-tooh,25,lé-to͘h,le2tooh4,le2tooh4,letooh,letooh,lt,lt,True
,lòo-kerh,25,lò͘-kerh,loo3kerh4,loo3kerh4,lookerh,lookerh,lk,lk,True
,lòo-suh,25,lò͘-suh,loo3suh4,loo3suh4,loosuh,loosuh,ls,ls,True
,lóo-tìng,25,ló͘-tèng,loo2ting3,loo2teng3,looting,looteng,lt,lt,True
,me-lóng,25,me-lóng,me1long2,me1long2,melong,melong,ml,ml,True
,mài-khù,25,mài-khù,mai3khu3,mai3khu3,maikhu,maikhu,mk,mk,True
,má-tsiah,25,má-chiah,ma2tsiah4,ma2chiah4,matsiah,machiah,mt,mc,True
,mî-im,25,mî-im,mi5im1,mi5im1,miim,miim,mi,mi,True
,mù-sìr,25,mù-sìr,mu3sir3,mu3sir3,musir,musir,ms,ms,True
,ok-sái,25,ok-sái,ok4sai2,ok4sai2,oksai,oksai,os,os,True
,phit-tsiah,25,phit-chiah,phit4tsiah4,phit4chiah4,phittsiah,phitchiah,pt,pc,True
,phi̋n-phóng,25,phĭn-phóng,phin1phong2,phin9phong2,phinphong,phinphong,pp,pp,True
,phòng-phuh,25,phòng-phuh,phong3phuh4,phong3phuh4,phongphuh,phongphuh,pp,pp,True
,sa̋n-sín,25,săn-sín,san1sin2,san9sin2,sansin,sansin,ss,ss,True
,siàn-tah,25,siàn-tah,sian3tah4,sian3tah4,siantah,siantah,st,st,True
,siáu-uah,25,siáu-oah,siau2uah4,siau2oah4,siauuah,siauoah,su,so,True
,siò-tooh,25,siò-to͘h,sio3tooh4,sio3tooh4,siotooh,siotooh,st,st,True
,sà-tooh,25,sà-to͘h,sa3tooh4,sa3tooh4,satooh,satooh,st,st,True
,thiàn-tòo,25,thiàn-tò͘,thian3too3,thian3too3,thiantoo,thiantoo,tt,tt,True
,tshì-sìr,25,chhì-sìr,tshi3sir3,chhi3sir3,tshisir,chhisir,ts,cs,True
